	production_budget	domestic_gross_x	worldwide_gross	month	year	studio	genre_ids	original_language	popularity	vote_average	vote_count	date	month	year
Lasso							[27, 53]	en	4.421	6.9	8.0	2018-11-13	11.0	2018.0
Tig Notaro: Happy To Be Here							[35]	en	4.418	6.2	20.0	2018-05-22	5.0	2018.0
The Amityville Murders							[27]	en	4.387	5.1	17.0	2018-10-09	10.0	2018.0
Secret Millionaire							[10749, 10770]	en	4.367	7.2	10.0	2018-01-06	1.0	2018.0
Studio 54							[99]	en	4.365	6.8	20.0	2018-10-05	10.0	2018.0
Believe Me: The Abduction of Lisa McVey							[10770, 18]	en	4.356	6.0	3.0	2018-09-30	9.0	2018.0
Liz and the Blue Bird							[10402, 16, 18]	ja	4.345	7.4	10.0	2018-11-09	11.0	2018.0
Our New President							[99]	en	4.343999999999999	6.0	2.0	2018-01-18	1.0	2018.0
Dirty Computer							[18, 10749, 878]	en	4.316	8.2	16.0	2018-04-23	4.0	2018.0
John Leguizamo's Latin History for Morons							[35]	en	4.303999999999999	7.3	13.0	2018-11-05	11.0	2018.0
Cooking with Love							[35, 10770, 10749]	en	4.302	6.3	7.0	2018-02-11	2.0	2018.0
Deadman Standing							[53, 37]	en	4.298	6.0	1.0	2018-04-15	4.0	2018.0
Neurotic Quest for Serenity							[35]	pt	4.298	5.2	51.0	2018-03-11	3.0	2018.0
Dry Martina							[35, 18]	es	4.287	7.1	6.0	2018-04-19	4.0	2018.0
The Royal Wedding Live with Cord and Tish!							[35]	en	4.28	6.0	4.0	2018-05-19	5.0	2018.0
An Acceptable Loss							[53, 18]	en	4.266	5.6	7.0	2019-01-18	1.0	2019.0
Welcome the Stranger							[18, 9648, 53, 878]	en	4.266	5.1	23.0	2018-03-20	3.0	2018.0
Silencer							[28]	en	4.229	6.0	7.0	2018-08-30	8.0	2018.0
The Swan Princess: A Royal Myztery							[10751, 16, 12, 35]	en	4.218	6.7	5.0	2018-03-27	3.0	2018.0
Reap What You Sew: An Aurora Teagarden Mystery							[10770, 9648, 80, 18]	en	4.217	5.7	7.0	2018-04-15	4.0	2018.0
The Field Guide to Evil							[27]	en	4.2010000000000005	5.4	11.0	2018-03-11	3.0	2018.0
Marrying Mr. Darcy							[10749, 10770]	en	4.2	6.0	7.0	2018-06-02	6.0	2018.0
Smuggling Hendrix							[35, 18]	en	4.195	6.6	11.0	2018-04-20	4.0	2018.0
The Trough							[80, 28, 53, 18, 53]	ko	4.185	6.5	4.0	2018-05-04	5.0	2018.0
Little Woods							[18, 53, 37]	en	4.183	5.3	9.0	2019-04-19	4.0	2019.0
An Interview with God							[18, 9648]	en	4.169	7.0	44.0	2018-08-20	8.0	2018.0
A Christmas in Royal Fashion							[18, 10749]	en	4.154	5.8	4.0	2018-12-16	12.0	2018.0
Christmas on Honeysuckle Lane							[10770, 10749]	en	4.145	6.1	7.0	2018-11-24	11.0	2018.0
Killer High							[27, 35, 10770]	en	4.1419999999999995	4.8	8.0	2018-10-20	10.0	2018.0
Odds Are							[53]	en	4.1339999999999995	6.8	3.0	2018-01-01	1.0	2018.0
Generation Wealth							[99]	en	4.132	7.4	19.0	2018-01-18	1.0	2018.0
Just Charlie							[18]	en	4.131	7.5	10.0	2018-01-30	1.0	2018.0
Pearl in Paradise							[35, 10749]	en	4.13	5.4	9.0	2018-08-18	8.0	2018.0
Nostalgia							[18]	en	4.1080000000000005	6.2	11.0	2018-02-16	2.0	2018.0
Christmas at Grand Valley							[10749, 10770]	en	4.101	7.3	3.0	2018-12-22	12.0	2018.0
Rangasthalam							[28, 18]	te	4.101	6.7	11.0	2018-03-29	3.0	2018.0
Deadly Deed: A Fixer Upper Mystery							[9648, 10770]	en	4.096	5.0	9.0	2018-03-11	3.0	2018.0
The Harvesting							[53, 27]	en	4.095	6.7	16.0	2018-12-06	12.0	2018.0
Lobster Cop							[35, 80, 53]	zh	4.083	0.0	1.0	2018-06-22	6.0	2018.0
Trico Tri Happy Halloween							[10751, 27, 35]	en	4.073	1.0	1.0	2018-09-28	9.0	2018.0
Royal Hearts							[10770, 10749]	en	4.06	6.4	15.0	2018-02-24	2.0	2018.0
Christmas Harmony							[35, 18, 10402, 10770]	en	4.0569999999999995	5.3	3.0	2018-11-24	11.0	2018.0
A Father's Nightmare							[53, 10770]	en	4.052	4.0	1.0	2018-09-16	9.0	2018.0
Breaking Brooklyn							[18, 10751, 10402, 10749]	en	4.045	8.3	3.0	2018-11-06	11.0	2018.0
Starfish							[18, 27, 878]	en	4.033	5.6	5.0	2018-09-27	9.0	2018.0
Aurora Teagarden Mysteries: The Disappearing Game							[9648, 10770, 18, 80, 9648]	en	4.025	5.6	8.0	2018-07-29	7.0	2018.0
Genesis: The Fall of Eden							[878]	en	4.024	3.9	9.0	2018-04-21	4.0	2018.0
All About Nina							[35, 18]	en	4.018	6.5	11.0	2018-09-28	9.0	2018.0
The Bill Murray Stories: Life Lessons Learned from a Mythical Man							[99]	en	4.015	7.1	15.0	2018-03-10	3.0	2018.0
A Godwink Christmas							[10770, 10751, 10749]	en	4.0089999999999995	7.1	6.0	2018-11-17	11.0	2018.0
Tom and Grant							[35]	en	4.004	4.0	5.0	2018-07-21	7.0	2018.0
Con Man							[18]	en	3.989	4.7	6.0	2018-01-30	1.0	2018.0
The Christmas Contract							[10749, 10770]	en	3.9730000000000003	6.3	13.0	2018-11-22	11.0	2018.0
The Outer Wild							[14, 12, 18]	en	3.963	4.5	4.0	2018-09-28	9.0	2018.0
Ruin Me							[27, 53]	en	3.958	5.5	21.0	2018-07-24	7.0	2018.0
The Legend of Cocaine Island							[99]	en	3.947	6.8	16.0	2018-04-20	4.0	2018.0
Alone We Fight							[10752]	en	3.9419999999999997	5.0	4.0	2018-11-06	11.0	2018.0
Northern Lights of Christmas							[18, 10749, 10770]	en	3.9360000000000004	7.3	3.0	2018-12-15	12.0	2018.0
My Secret Valentine							[10749, 10770]	en	3.9339999999999997	6.0	20.0	2018-02-03	2.0	2018.0
The Lucky Man							[28, 18, 878]	en	3.932	6.0	5.0	2018-01-16	1.0	2018.0
Very, Very, Valentine							[10749, 10770]	en	3.931	7.5	6.0	2018-02-10	2.0	2018.0
The Terrible Two							[27]	en	3.927	3.2	6.0	2018-03-06	3.0	2018.0
Warning Shot							[18, 53]	en	3.911	4.7	6.0	2018-09-14	9.0	2018.0
It Came from the Desert							[27, 28, 35]	en	3.906	5.0	27.0	2018-05-29	5.0	2018.0
Return to Christmas Creek							[10751, 10770]	en	3.9019999999999997	6.5	6.0	2018-11-18	11.0	2018.0
Deliler							[36]	tr	3.892	10.0	1.0	2018-11-29	11.0	2018.0
Christmas Perfection							[18, 35, 10770]	en	3.888	5.8	6.0	2018-11-25	11.0	2018.0
Of Fathers and Sons							[99, 10752]	ar	3.883	6.8	11.0	2018-11-16	11.0	2018.0
Who We Are Now							[18]	en	3.878	5.7	13.0	2018-05-25	5.0	2018.0
Silencio							[18, 9648, 53]	en	3.855	10.0	1.0	2018-10-26	10.0	2018.0
Danger One							[28, 35, 80, 53]	en	3.8480000000000003	4.9	9.0	2018-09-14	9.0	2018.0
Comedy Central Roast of Bruce Willis							[35, 10770]	en	3.81	6.4	14.0	2018-07-29	7.0	2018.0
Daughter of Mine							[18]	it	3.81	6.0	21.0	2018-04-20	4.0	2018.0
DC Super Hero Girls: Legends of Atlantis							[16, 10751]	en	3.8089999999999997	3.5	4.0	2018-07-22	7.0	2018.0
Christmas Wonderland							[18, 10749, 10770]	en	3.7939999999999996	7.9	8.0	2018-12-02	12.0	2018.0
Love, Once and Always							[18]	en	3.787	6.5	11.0	2018-03-10	3.0	2018.0
Flight of the Conchords: Live in London							[35, 10402]	en	3.7760000000000002	7.5	4.0	2018-10-06	10.0	2018.0
The Ghost Beyond							[27, 53]	en	3.7689999999999997	4.8	4.0	2018-12-04	12.0	2018.0
#SquadGoals							[18, 53]	en	3.766	4.3	12.0	2018-01-16	1.0	2018.0
Royally Ever After							[18, 10770]	en	3.765	6.1	15.0	2018-05-19	5.0	2018.0
A Sister's Secret							[18, 53, 10770]	en	3.753	8.0	3.0	2018-08-05	8.0	2018.0
Pledges							[27, 35]	en	3.7460000000000004	3.7	3.0	2018-08-07	8.0	2018.0
Wastelander							[878, 28, 12]	en	3.734	4.0	6.0	2018-02-02	2.0	2018.0
Fake Tattoos							[10749, 18]	fr	3.727	6.3	10.0	2018-01-21	1.0	2018.0
Viper Club							[53, 18]	en	3.722	5.8	6.0	2018-10-26	10.0	2018.0
Lez Bomb							[35]	en	3.715	7.3	13.0	2018-11-09	11.0	2018.0
Last Seen in Idaho							[80, 9648, 53]	en	3.714	6.4	6.0	2018-04-24	4.0	2018.0
Hate Story IV							[53, 80, 18]	hi	3.71	5.3	4.0	2018-03-09	3.0	2018.0
Last Vermont Christmas							[18, 10770]	en	3.7089999999999996	6.2	5.0	2018-11-19	11.0	2018.0
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life							[35, 10402, 99]	en	3.7039999999999997	6.6	23.0	2018-05-25	5.0	2018.0
Late Afternoon							[16, 18]	en	3.702	7.7	40.0	2019-02-08	2.0	2019.0
A Leaf of Faith							[99]	en	3.694	8.0	5.0	2018-05-21	5.0	2018.0
The Forgiven							[53]	en	3.6860000000000004	6.4	31.0	2018-03-09	3.0	2018.0
Strange Nature							[53]	en	3.674	3.7	7.0	2018-09-22	9.0	2018.0
Astral							[18, 878, 53, 27]	en	3.6630000000000003	4.4	20.0	2018-10-13	10.0	2018.0
Team Darryl							[35, 99]	en	3.66	6.8	12.0	2018-02-20	2.0	2018.0
Kevin Smith: Silent but Deadly							[35, 99]	en	3.654	6.9	11.0	2018-05-11	5.0	2018.0
The Witch Files							[27, 53]	en	3.653	5.2	10.0	2018-09-10	9.0	2018.0
Morning Show Mystery: Mortal Mishaps							[9648, 10770]	en	3.645	6.8	5.0	2018-01-21	1.0	2018.0
Bernie the Dolphin							[28, 35, 10751, 12]	en	3.64	6.4	4.0	2018-12-07	12.0	2018.0
A Stolen Life							[18]	en	3.625	5.7	3.0	2018-07-20	7.0	2018.0
Wild Nights with Emily							[18, 36, 35]	en	3.622	6.3	2.0	2019-04-12	4.0	2019.0
Snapshots							[18]	en	3.61	8.3	11.0	2018-08-14	8.0	2018.0
Kill Order							[878, 28]	en	3.609	5.2	20.0	2018-02-06	2.0	2018.0
LEGO DC Super Hero Girls: Super-Villain High							[16, 28, 10751]	en	3.6069999999999998	6.5	6.0	2018-05-01	5.0	2018.0
Royal Matchmaker							[]	en	3.595	6.0	11.0	2018-03-24	3.0	2018.0
All the Creatures Were Stirring							[27]	en	3.594	3.9	9.0	2018-04-06	4.0	2018.0
Struggle: The Life and Lost Art of Szukalski							[99]	en	3.591	8.4	20.0	2018-12-21	12.0	2018.0
Furthest Witness							[80, 18, 53]	en	3.5860000000000003	3.0	2.0	2018-09-18	9.0	2018.0
It's Christmas, Eve							[10749, 18, 10770, 10402]	en	3.5839999999999996	5.7	9.0	2018-11-10	11.0	2018.0
Signed, Sealed, Delivered: The Road Less Traveled							[]	en	3.5839999999999996	5.6	5.0	2018-02-11	2.0	2018.0
Sex Weather							[10749, 18, 35]	en	3.5810000000000004	2.7	3.0	2018-10-01	10.0	2018.0
Dead Men							[18, 37, 28]	en	3.5810000000000004	2.0	1.0	2018-02-01	2.0	2018.0
Songbird							[18]	en	3.5789999999999997	3.6	8.0	2018-09-07	9.0	2018.0
David Bowie: The Last Five Years							[10402, 99]	en	3.576	7.2	21.0	2018-01-08	1.0	2018.0
A Twist of Christmas							[10749, 10770]	en	3.576	5.3	4.0	2018-12-01	12.0	2018.0
Matangi / Maya / M.I.A.							[99, 10402, 99]	en	3.572	8.2	16.0	2018-01-21	1.0	2018.0
Gad Elmaleh: American Dream							[35]	en	3.56	7.1	54.0	2018-03-06	3.0	2018.0
RuPaul's Drag Race Holi-slay Spectacular							[10402]	en	3.56	5.9	16.0	2018-12-07	12.0	2018.0
Brimming with Love							[10770, 10751]	en	3.549	5.0	2.0	2018-05-05	5.0	2018.0
Garage Sale Mysteries: The Pandora's Box Murders							[18, 9648, 10770]	en	3.5469999999999997	5.6	9.0	2018-08-05	8.0	2018.0
Girl in the Bunker							[10770, 18]	en	3.54	6.8	3.0	2018-05-28	5.0	2018.0
All of My Heart: The Wedding							[10749, 10770]	en	3.54	6.3	9.0	2018-09-29	9.0	2018.0
Defective							[28, 878, 53]	en	3.528	4.9	7.0	2018-02-13	2.0	2018.0
Diane							[18]	en	3.5210000000000004	7.5	4.0	2018-04-22	4.0	2018.0
Mistrust							[18]	en	3.509	5.5	2.0	2018-06-01	6.0	2018.0
Runaway Romance							[18, 10749, 10770]	en	3.5069999999999997	6.0	8.0	2018-01-07	1.0	2018.0
The Truth About Killer Robots							[99]	en	3.5069999999999997	5.3	3.0	2018-11-26	11.0	2018.0
Christmas at Pemberley Manor							[10749, 10770]	en	3.503	5.9	20.0	2018-10-27	10.0	2018.0
Above Majestic							[99]	en	3.488	7.8	6.0	2018-10-30	10.0	2018.0
Pari							[27, 14, 9648]	hi	3.478	6.7	18.0	2018-03-02	3.0	2018.0
A Boy. A Girl. A Dream							[10749]	en	3.464	7.7	5.0	2018-01-22	1.0	2018.0
Basmati Blues							[35, 10402, 10749]	en	3.4589999999999996	5.3	11.0	2018-02-09	2.0	2018.0
Middleground							[10749, 18]	en	3.4539999999999997	6.3	4.0	2018-06-08	6.0	2018.0
Hailey Dean Mystery: 2 + 2 = Murder							[9648, 10770]	en	3.438	5.8	4.0	2018-06-03	6.0	2018.0
Love on Safari							[10770, 18]	en	3.43	6.2	11.0	2018-07-28	7.0	2018.0
Reversing Roe							[99]	en	3.424	7.6	7.0	2018-09-01	9.0	2018.0
Alpha Wolf							[27, 53]	en	3.424	6.4	5.0	2018-11-13	11.0	2018.0
Obey							[18]	en	3.4210000000000003	7.3	4.0	2018-04-22	4.0	2018.0
The Perfect Bride: Wedding Bells							[10749, 10770]	en	3.415	6.2	5.0	2018-06-09	6.0	2018.0
Red Army Hooligans							[80]	en	3.3939999999999997	4.8	4.0	2018-06-06	6.0	2018.0
Love, Of Course							[18, 10749, 10770]	en	3.3819999999999997	6.9	7.0	2018-10-20	10.0	2018.0
Boo!							[27, 53, 18, 9648]	en	3.3810000000000002	0.0	5.0	2018-10-14	10.0	2018.0
Derren Brown: Sacrifice							[10770, 99]	en	3.366	7.9	19.0	2018-10-19	10.0	2018.0
The Biggest Little Farm							[99]	en	3.365	0.0	5.0	2018-09-01	9.0	2018.0
Rafinha Bastos: Ultimatum							[]	pt	3.36	6.3	12.0	2018-09-21	9.0	2018.0
Rudolf the Black Cat							[35, 16, 12]	ja	3.359	7.5	14.0	2018-12-31	12.0	2018.0
Alt-Right: Age of Rage							[99]	en	3.359	6.8	6.0	2018-03-09	3.0	2018.0
Mary Poppins Returns: Behind the Magic							[99]	en	3.359	5.0	3.0	2018-11-22	11.0	2018.0
Love at First Dance							[10749, 10770]	en	3.352	6.1	9.0	2018-06-16	6.0	2018.0
Pup Star: World Tour							[35, 10751, 10402]	en	3.3489999999999998	5.5	2.0	2018-05-05	5.0	2018.0
Winter's Dream							[10749, 10770]	en	3.335	5.7	10.0	2018-01-27	1.0	2018.0
Let the Corpses Tan							[53, 80, 37, 28]	fr	3.3289999999999997	5.8	33.0	2018-08-31	8.0	2018.0
Head Full of Honey							[18]	en	3.3280000000000003	6.2	6.0	2018-11-30	11.0	2018.0
The Silence of Others							[99]	es	3.299	8.5	15.0	2019-05-08	5.0	2019.0
Love in Design							[10749, 10770]	en	3.293	6.2	8.0	2018-09-15	9.0	2018.0
Death Kiss							[28, 53]	en	3.2910000000000004	5.4	13.0	2018-05-04	5.0	2018.0
Just Past Noon on a Tuesday							[18]	pt	3.285	7.0	2.0	2018-06-22	6.0	2018.0
Todd Glass: Act Happy							[35]	en	3.282	5.3	8.0	2018-01-23	1.0	2018.0
A Dark Place							[18]	en	3.265	6.0	1.0	2018-04-27	4.0	2018.0
Hesburgh							[99]	en	3.262	10.0	1.0	2019-04-26	4.0	2019.0
The Ashram							[53, 14]	en	3.245	5.5	10.0	2018-03-02	3.0	2018.0
Fatal Pulse							[53]	en	3.245	3.3	3.0	2018-05-31	5.0	2018.0
Frozen in Love							[10770]	en	3.241	6.5	14.0	2018-01-13	1.0	2018.0
Drug$							[99]	en	3.23	9.0	2.0	2018-12-15	12.0	2018.0
Ajin: Demi-Human							[28, 27, 9648]	ja	3.23	7.2	14.0	2018-03-13	3.0	2018.0
Jane Fonda in Five Acts							[99, 10770]	en	3.22	7.7	14.0	2018-01-21	1.0	2018.0
Making Fun: The Story of Funko							[99]	en	3.218	6.6	22.0	2018-01-22	1.0	2018.0
Off The Menu							[35, 10749]	en	3.215	5.7	7.0	2018-02-01	2.0	2018.0
One Last Thing							[18]	en	3.214	7.7	3.0	2018-06-13	6.0	2018.0
The Commodore Story							[99]	en	3.208	6.0	4.0	2018-02-23	2.0	2018.0
4/20 Massacre							[27, 28]	en	3.208	5.2	6.0	2018-04-03	4.0	2018.0
Ultra-Girl							[18, 14]	en	3.2030000000000003	7.0	3.0	2018-11-01	11.0	2018.0
Every 21 Seconds							[18]	en	3.199	6.0	1.0	2018-04-13	4.0	2018.0
Cardinals							[53, 80, 18]	en	3.197	6.7	11.0	2018-04-09	4.0	2018.0
Derren Brown: Pushed to the Edge							[99, 10770]	en	3.195	7.4	39.0	2018-02-27	2.0	2018.0
Thriller							[27]	en	3.1860000000000004	4.5	6.0	2018-09-23	9.0	2018.0
A Bluebird in My Heart							[53]	en	3.1719999999999997	7.6	9.0	2018-03-10	3.0	2018.0
Bullitt County							[28, 18, 53]	en	3.17	4.0	2.0	2018-10-26	10.0	2018.0
Believer							[99]	en	3.1689999999999996	7.0	10.0	2018-01-20	1.0	2018.0
Christmas Made to Order							[10770, 10749]	en	3.168	7.3	3.0	2018-12-23	12.0	2018.0
The Revenge of Robert							[27]	en	3.158	4.3	4.0	2018-03-06	3.0	2018.0
Cucuy: The Boogeyman							[53]	en	3.148	4.8	5.0	2018-10-13	10.0	2018.0
The Satanic Nun							[27]	en	3.141	4.4	5.0	2018-09-04	9.0	2018.0
The Bad Seed							[27, 9648, 18]	en	3.13	6.5	15.0	2018-09-09	9.0	2018.0
Life-Size 2							[10751, 14]	en	3.13	5.8	13.0	2018-12-02	12.0	2018.0
Generation Iron 3							[99]	en	3.114	6.3	9.0	2018-12-07	12.0	2018.0
Blink							[18]	en	3.1069999999999998	6.3	4.0	2018-03-02	3.0	2018.0
Searching for Ingmar Bergman							[99]	de	3.105	5.8	7.0	2018-11-02	11.0	2018.0
A Boy Called Sailboat							[18, 35]	en	3.102	7.0	2.0	2018-04-29	4.0	2018.0
Angels Wear White							[18]	zh	3.097	6.9	20.0	2018-05-04	5.0	2018.0
Mapplethorpe							[18]	en	3.089	7.8	3.0	2018-04-22	4.0	2018.0
Mommy Be Mine							[53, 10770]	en	3.0789999999999997	5.7	3.0	2018-05-11	5.0	2018.0
Papers, Please: The Short Film							[18, 53]	ru	3.068	7.5	13.0	2018-02-24	2.0	2018.0
Action Figures 2							[28]	en	3.065	10.0	1.0	2018-06-28	6.0	2018.0
Threesomething							[35]	en	3.063	5.8	4.0	2018-03-03	3.0	2018.0
Head Count							[27, 9648, 53]	en	3.062	6.5	1.0	2018-09-24	9.0	2018.0
Born Racer							[28, 18]	en	3.0610000000000004	7.6	5.0	2018-10-02	10.0	2018.0
Public Disturbance							[35]	en	3.054	6.1	6.0	2018-08-28	8.0	2018.0
Odiyan							[18, 28, 14]	ml	3.042	6.9	6.0	2018-12-13	12.0	2018.0
The Queen of Fear							[18]	es	3.035	8.0	2.0	2018-01-21	1.0	2018.0
Adventures in Public School							[35]	en	3.0260000000000002	5.7	36.0	2018-02-07	2.0	2018.0
When the Trees Fall							[18]	uk	3.0210000000000004	0.0	1.0	2018-09-23	9.0	2018.0
Starlight Promises							[16, 14, 12, 9648]	ja	3.002	6.3	3.0	2018-08-03	8.0	2018.0
Two Tails							[16, 10751]	ru	2.99	5.3	5.0	2018-12-31	12.0	2018.0
Desperate Cowboys							[80, 18, 53]	en	2.985	10.0	1.0	2018-04-28	4.0	2018.0
King in the Wilderness							[99]	en	2.985	6.6	7.0	2018-01-22	1.0	2018.0
Killer Night Shift							[53]	en	2.985	5.0	3.0	2018-09-02	9.0	2018.0
A Lonely Woman							[28, 18, 80]	en	2.9760000000000004	3.3	3.0	2018-03-23	3.0	2018.0
To Dust							[35, 18]	en	2.9739999999999998	6.5	2.0	2018-04-22	4.0	2018.0
Urban Country							[35, 18, 10751]	en	2.966	6.5	4.0	2018-04-12	4.0	2018.0
Making a Killing							[9648, 80, 18]	en	2.963	5.0	1.0	2018-08-10	8.0	2018.0
Frenzy							[27, 53, 10770]	en	2.9619999999999997	3.9	9.0	2018-08-15	8.0	2018.0
Ron White: If You Quit Listening, I'll Shut Up							[35]	en	2.9419999999999997	6.2	10.0	2018-10-16	10.0	2018.0
A Dog and Pony Show							[35, 10751]	en	2.9389999999999996	5.0	1.0	2018-01-23	1.0	2018.0
Killer Ending							[80, 18]	en	2.937	5.0	1.0	2018-06-30	6.0	2018.0
Bad Apples							[27]	en	2.937	4.2	6.0	2018-02-06	2.0	2018.0
Waterschool							[99]	en	2.93	6.0	1.0	2018-01-20	1.0	2018.0
Wedding March 4: Something Old, Something New							[10749, 10770]	en	2.925	6.4	5.0	2018-06-23	6.0	2018.0
Little Women							[18]	en	2.9189999999999996	6.8	11.0	2018-09-28	9.0	2018.0
Mr. 365							[10749]	en	2.91	4.0	1.0	2018-12-15	12.0	2018.0
The Simone Biles Story: Courage to Soar							[99, 36]	en	2.904	8.9	4.0	2018-02-03	2.0	2018.0
The Toxic Avenger: The Musical							[35, 878]	en	2.891	10.0	1.0	2018-04-07	4.0	2018.0
Don't Open Your Eyes							[18, 27]	en	2.891	8.8	5.0	2018-10-31	10.0	2018.0
Like Arrows							[18]	en	2.887	6.0	1.0	2018-05-01	5.0	2018.0
Alex & The List							[10749, 35]	en	2.884	5.5	21.0	2018-05-04	5.0	2018.0
Inventing Tomorrow							[99]	en	2.875	0.0	1.0	2018-01-20	1.0	2018.0
Feminists: What Were They Thinking?							[99]	en	2.8710000000000004	8.2	42.0	2018-02-19	2.0	2018.0
Five Fingers for Marseilles							[18]	en	2.8680000000000003	5.6	12.0	2018-09-07	9.0	2018.0
All These Small Moments							[18]	en	2.866	6.2	3.0	2019-01-17	1.0	2019.0
How to Train Your Husband							[10749]	en	2.865	6.5	2.0	2018-06-19	6.0	2018.0
Broken Star							[53]	en	2.865	5.8	4.0	2018-07-20	7.0	2018.0
The Competition							[10749, 35]	en	2.858	5.6	5.0	2018-01-26	1.0	2018.0
Bad Reputation							[99, 10402]	en	2.8560000000000003	5.5	8.0	2018-09-28	9.0	2018.0
Pick of the Litter							[99]	en	2.852	7.4	14.0	2018-01-19	1.0	2018.0
Ya veremos							[35, 18]	es	2.85	6.7	18.0	2018-08-31	8.0	2018.0
Cold November							[18, 10751, 53]	en	2.85	6.5	6.0	2018-03-23	3.0	2018.0
The Oslo Diaries							[99]	en	2.8489999999999998	8.3	6.0	2018-01-21	1.0	2018.0
Idle Thoughts							[35, 18, 10749]	en	2.833	5.0	3.0	2018-03-14	3.0	2018.0
Dark Vale							[27]	en	2.822	2.3	4.0	2018-05-22	5.0	2018.0
Saint Judy							[18]	en	2.821	7.0	1.0	2019-03-01	3.0	2019.0
Agnyaathavaasi							[18, 28]	te	2.8160000000000003	4.2	5.0	2018-01-09	1.0	2018.0
Mo Amer: The Vagabond							[35]	en	2.8080000000000003	7.1	5.0	2018-10-08	10.0	2018.0
Break Night							[18, 80]	en	2.803	4.3	4.0	2018-01-10	1.0	2018.0
Eat Me							[18, 53]	en	2.803	3.3	3.0	2018-03-02	3.0	2018.0
Watch If You Dare							[27]	en	2.802	3.0	3.0	2018-11-08	11.0	2018.0
Fall City							[18, 14, 10749]	en	2.798	6.0	8.0	2018-11-22	11.0	2018.0
Big Kill							[28, 37]	en	2.79	4.0	2.0	2018-10-19	10.0	2018.0
Garage Sale Mysteries: The Mask Murder							[9648, 10770]	en	2.7889999999999997	5.8	9.0	2018-08-12	8.0	2018.0
We the Coyotes							[18]	en	2.7880000000000003	6.7	4.0	2018-09-26	9.0	2018.0
Small Town Christmas							[18, 10749, 10770]	en	2.7880000000000003	5.9	8.0	2018-12-22	12.0	2018.0
Mohawk							[28, 36, 18, 10749, 53, 10752]	en	2.779	5.4	28.0	2018-03-02	3.0	2018.0
Cherokee Creek							[27]	en	2.778	3.3	4.0	2018-07-26	7.0	2018.0
An Elephant's Journey							[12, 18, 10751]	en	2.7739999999999996	3.0	3.0	2018-04-16	4.0	2018.0
Tiger							[18]	en	2.77	7.0	4.0	2018-11-30	11.0	2018.0
Beyond the Night							[18, 9648, 53]	en	2.767	5.0	1.0	2019-01-11	1.0	2019.0
Elephants							[10749, 35, 18]	en	2.766	4.0	1.0	2018-12-07	12.0	2018.0
Driven to Dance							[18]	en	2.7539999999999996	6.0	1.0	2018-04-15	4.0	2018.0
Do Women Have a Higher Sex Drive?							[99]	en	2.752	8.0	2.0	2018-06-05	6.0	2018.0
Bad Stepmother							[10770, 53]	en	2.7510000000000003	8.5	2.0	2018-01-12	1.0	2018.0
#Roxy							[35, 10749]	en	2.75	4.0	3.0	2018-04-13	4.0	2018.0
The Lotus							[28, 27, 878]	en	2.7439999999999998	5.0	7.0	2018-03-06	3.0	2018.0
A Woman's Nightmare							[10770, 53]	en	2.7439999999999998	0.0	1.0	2018-11-09	11.0	2018.0
A Cool Fish							[35, 53]	zh	2.7319999999999998	6.6	11.0	2018-11-16	11.0	2018.0
Drew Michael							[35, 10770]	en	2.73	7.0	3.0	2018-08-25	8.0	2018.0
Fury of the Fist and the Golden Fleece							[28]	en	2.722	4.7	3.0	2018-05-25	5.0	2018.0
Bisbee '17							[99]	en	2.721	8.5	2.0	2018-09-05	9.0	2018.0
Christmas with a Prince							[18, 10749, 10770]	en	2.718	4.8	4.0	2018-12-09	12.0	2018.0
The Devil We Know							[99]	en	2.716	7.7	3.0	2018-01-21	1.0	2018.0
Claire's Camera							[18]	fr	2.71	6.4	16.0	2018-03-09	3.0	2018.0
Happy Birthday Hannah							[27]	en	2.7089999999999996	5.0	3.0	2018-10-05	10.0	2018.0
Stella's Last Weekend							[35]	en	2.707	7.7	9.0	2018-10-12	10.0	2018.0
Shangri-La: Near Extinction							[878]	en	2.705	4.0	1.0	2018-10-02	10.0	2018.0
A Host of Sparrows							[53]	en	2.702	6.0	1.0	2018-07-07	7.0	2018.0
Killer Kate!							[27]	en	2.695	4.1	7.0	2018-10-26	10.0	2018.0
I'll Be Next Door for Christmas							[35, 10770, 10751]	en	2.6910000000000003	6.0	1.0	2018-12-04	12.0	2018.0
Katt Williams: Great America							[35]	en	2.682	5.5	18.0	2018-01-16	1.0	2018.0
Instakiller							[53]	en	2.681	7.0	2.0	2018-12-08	12.0	2018.0
Curse of the Nun							[27]	en	2.668	4.3	11.0	2018-05-09	5.0	2018.0
The Joke Thief							[18]	en	2.657	5.7	3.0	2018-04-16	4.0	2018.0
Stalked by My Doctor: Patient's Revenge							[53]	en	2.655	10.0	1.0	2018-06-10	6.0	2018.0
The Music Box							[53]	en	2.653	3.6	10.0	2018-09-15	9.0	2018.0
Nothing Like a Dame							[99]	en	2.648	6.6	13.0	2018-09-21	9.0	2018.0
The Middle of X							[18]	en	2.648	5.0	3.0	2018-09-18	9.0	2018.0
Every Act of Life							[99]	en	2.645	8.0	1.0	2018-04-23	4.0	2018.0
A Daughter's Revenge							[18]	en	2.64	5.0	1.0	2018-05-12	5.0	2018.0
